Listar Por Lojas;Quebrar Por Forma de pagamento;GMV-GMV;GMV-Boleto médio;GMV-Qtd de boletos;GMV-Itens por boleto;Meta receita-Receita com Estoque Externo;Meta receita-Meta receita;Meta receita-Atingimento;Meta receita-Crescimento ano anterior;Meta receita-Receita Estoque Externo;Meta receita-Participação receita Estoque Externo;Meta complementar-Meta boleto médio;Meta complementar-Atingimento meta boleto médio;Meta complementar-Meta itens por boleto;Meta complementar-Atingimento itens por boleto;Valores de vendas-Receita líquida;Valores de vendas-Receita líquida (-) trocas;Valores de vendas-B1;Fidelidade-Qtd de boletos;Fidelidade-Penetração boletos;Descontos-Total de descontos;Trocas-Trocas;Trocas-Qtd de trocas;Cartão presente-Recarga;Quantitativo-B1
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;Sem Identificação;0,00;0,00;0,00;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;1 - DINHEIRO;4.783,94;167,98;28,48;1,94;;;;;;;;;;;4.784,22;4.784,22;966,92;32,91;83,36;1.740,86;0,00;0,00;0,00;18,57
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;22 - TEF CREDITO;24.579,72;255,67;96,14;2,92;;;;;;;;;;;24.580,62;24.580,62;1.385,22;92,14;95,84;8.542,75;0,00;0,00;0,00;10,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;23 - TEF DEBITO;2.990,93;209,16;14,30;2,84;;;;;;;;;;;2.991,07;2.991,07;50,00;13,30;93,01;1.601,30;0,00;0,00;0,00;1,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;24 - POS CREDITO;178,22;178,22;1,00;4,00;;;;;;;;;;;178,22;178,22;0,00;1,00;100,00;90,38;0,00;0,00;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;26 - PIX NO PDV;5.616,21;207,39;27,08;2,59;;;;;;;;;;;5.616,42;5.616,42;74,89;24,65;91,03;1.416,70;0,00;0,00;0,00;0,43
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;36 - OMNI;0,00;0,00;0,00;0,00;;;;;;;;;;;1.063,01;1.063,01;380,87;11,00;100,00;254,73;0,00;0,00;0,00;5,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;Sem Identificação;0,00;0,00;0,00;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;1 - DINHEIRO;2.163,61;122,24;17,70;1,95;;;;;;;;;;;2.163,67;2.163,67;462,40;17,70;100,00;816,24;0,00;0,00;0,00;7,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;22 - TEF CREDITO;16.382,32;230,12;71,19;2,95;;;;;;;;;;;16.382,63;16.382,63;1.646,43;69,19;97,19;4.280,33;0,00;0,00;0,00;12,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;23 - TEF DEBITO;2.077,23;124,76;16,65;1,82;;;;;;;;;;;2.077,29;2.077,29;591,40;15,65;93,99;438,41;0,00;0,00;0,00;6,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;26 - PIX NO PDV;3.842,93;142,07;27,05;1,93;;;;;;;;;;;3.843,00;3.843,00;1.051,81;27,05;100,00;1.145,09;0,00;0,00;0,00;9,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;32 - VALE PRESENTE;30,00;75,00;0,40;2,00;;;;;;;;;;;30,00;30,00;0,00;0,40;100,00;28,71;0,00;0,00;0,00;0,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;Sem Identificação;0,00;0,00;0,00;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;1 - DINHEIRO;15.861,93;154,48;102,68;1,89;;;;;;;;;;;15.862,61;15.862,61;5.599,68;155,68;91,75;4.780,39;0,00;0,00;0,00;118,28
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;22 - TEF CREDITO;51.642,74;208,22;248,02;2,75;;;;;;;;;;;51.642,78;51.642,78;7.781,54;232,02;93,55;12.804,55;0,00;0,00;0,00;58,83
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;23 - TEF DEBITO;9.365,03;183,63;51,00;2,54;;;;;;;;;;;9.365,04;9.365,04;2.010,73;48,00;94,12;1.875,19;0,00;0,00;0,00;19,44
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;24 - POS CREDITO;2.551,12;255,11;10,00;4,10;;;;;;;;;;;2.551,12;2.551,12;67,92;10,00;100,00;1.006,55;0,00;0,00;0,00;1,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;25 - POS DEBITO;546,90;273,45;2,00;2,00;;;;;;;;;;;546,90;546,90;52,90;1,00;50,00;41,00;0,00;0,00;0,00;1,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;26 - PIX NO PDV;12.291,10;145,37;84,55;2,06;;;;;;;;;;;12.291,12;12.291,12;4.211,51;76,49;90,47;3.116,67;0,00;0,00;0,00;36,86
